station name,latitude,longitude
Alam Sutera,3.054663,101.656539
Ampang,3.150373,101.760215
Awan Besar,3.062083,101.670631
Bandaraya,3.155524,101.694433
Bandar Puteri,3.016948,101.612934
Bandar Tasik Selatan,3.076279,101.7111
Bandar Tun Razak,3.089634,101.712437
Bukit Jalil,3.058142,101.692208
Cahaya,3.140613,101.756592
Cempaka,3.138482,101.753032
Chan Sow Lin,3.128375,101.716593
Cheras,3.112709,101.714314
Hang Tuah (BBCC-Hang Tuah),3.140728,101.706
IOI Puchong Jaya,3.048063,101.621032
Kinrara BK5,3.050238,101.64433
Maluri (AEON-Maluri),3.123267,101.726943
Masjid Jamek,3.149407,101.696433
Miharja,3.120967,101.717827
Muhibbah,3.06193,101.662599
Pandan Indah,3.134753,101.746692
Pandan Jaya,3.130226,101.738968
Plaza Rakyat,3.144222,101.702124
Puchong Perdana,3.007826,101.605278
Puchong Prima,2.999917,101.596725
Pudu,3.134938,101.712018
Pusat Bandar Puchong,3.033247,101.616084
Putra Heights,2.996048,101.575579
PWTC,3.166566,101.69359
Salak Selatan (LRT),3.102117,101.706292
Sentul (LRT),3.178574,101.695491
Sentul Timur,3.185908,101.695305
Sri Petaling,3.061484,101.687077
Sultan Ismail,3.161209,101.694129
Sungai Besi,3.063867,101.708413
Taman Perindustrian Puchong,3.022722,101.613535
Titiwangsa,3.17356,101.695247